"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6656","Go to Order Page","Mobile Chrome","Thu Nov 28 10:25:08 IST 2024","passed","Thu Nov 28 10:25:15 IST 2024","WebOrder E2E Test tests","WebOrder_Login_CallingBaseClass.spec.js","",""
"","7086","Go to Order Page","webkit","Thu Nov 28 09:58:56 IST 2024","passed","Thu Nov 28 09:59:03 IST 2024","WebOrder E2E Test tests","WebOrder_Login_CallingBaseClass.spec.js","",""
"","13000","Create Order - All Scenario","chrome","Tue Nov 26 15:01:51 IST 2024","passed","Tue Nov 26 15:02:04 IST 2024","","ReadData_From_JSON_CreateOrder_All_Scenario.spec.js","",""
"","15","TO Test Login Functionality-Writtern Scripts","webkit","Wed Nov 27 10:54:16 IST 2024","skipped","Wed Nov 27 10:54:16 IST 2024","chromium only","Skip_Conditional_GroupLevel.spec.js","",""
"","8013","test Personal","chrome","Thu Nov 28 12:41:44 IST 2024","passed","Thu Nov 28 12:41:52 IST 2024","Exercise 2","Exercise2.spec.js","",""
"","1575","Delete Order - Verify Order","chrome","Tue Nov 26 10:53:30 IST 2024","failed","Tue Nov 26 10:53:32 IST 2024","","WebOrder_Individual_TestBlock.spec.js","",""
"","23542","Create Order-Update Order- Verify Order@smoke","chrome","Tue Nov 26 09:16:50 IST 2024","passed","Tue Nov 26 09:17:14 IST 2024","","Name_Price_Scrapper_Pagination.spec.js","",""
"","4829","TO Test Login Functionality-Writtern Scripts","chrome","Wed Nov 27 10:43:45 IST 2024","passed","Wed Nov 27 10:43:49 IST 2024","","Skip_Conditional_Blazedemo.spec.js","",""
"","0","Delete Order - Verify Order @sanity","chrome","Thu Nov 28 10:55:50 IST 2024","skipped","Thu Nov 28 10:55:50 IST 2024","","WebOrder_DeleteOrder_VerifyOrder.spec.js","",""
"","5117","Update Order","chrome","Tue Nov 26 10:56:42 IST 2024","passed","Tue Nov 26 10:56:47 IST 2024","E2E WebOrder Application","WebOrder_Individual_Test_Block_UsingBrowser.spec.js","",""
"","6031","WebOrder App","chrome","Tue Nov 26 16:52:45 IST 2024","passed","Tue Nov 26 16:52:51 IST 2024","WebOrder All Test Scenario","Read_DataFrom_CSV_WebordersAPP_AllScenario.spec.js","",""
